2025-12-30 10:44:19 | INFO | __main__ | Reading file: 8bitoracle_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 8bitoracle_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 8bitoracle_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 8bitoracle_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: a16gems_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: a16gems_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: a16gems_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: a16gems_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: a16gems_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAAA4A4AAAAA_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAAA4A4AAAAA_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAAA4A4AAAAA_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAAA4A4AAAAA_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAAA4A4AAAAA_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAHHM_SOL_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAHHM_SOL_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAHHM_SOL_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAHHM_SOL_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AAAHHM_SOL_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Abhyuddayy_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Abhyuddayy_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Abhyuddayy_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Abhyuddayy_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Abhyuddayy_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AcolytAI_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AcolytAI_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AcolytAI_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AcolytAI_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AcolytAI_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: ACTICOMMUNITY_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: ACTICOMMUNITY_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: ACTICOMMUNITY_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: ACTICOMMUNITY_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: ACTICOMMUNITY_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Aejo_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Aejo_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Aejo_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Aejo_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Aejo_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: aetheraisolana_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: aetheraisolana_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: aetheraisolana_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: aetheraisolana_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: aetheraisolana_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: affirmai_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: affirmai_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: affirmai_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: affirmai_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: affirmai_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: agent007ai_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: agent007ai_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: agent007ai_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: agent007ai_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: agent007ai_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Agent47Trump_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Agent47Trump_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Agent47Trump_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Agent47Trump_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: Agent47Trump_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentBILLNYE_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentBILLNYE_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentBILLNYE_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentBILLNYE_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentBILLNYE_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentCerebrus_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentCerebrus_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentCerebrus_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentCerebrus_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: AgentCerebrus_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: agentdoge007_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: agentdoge007_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: agentdoge007_tweets_2.json
